seed,run_seed,step_idx,v,N1,N2,N3,N4,V4,S,parent_size,mu_depth,mu_v4,mu_mle
chain2,12,16,18,3,3,1,0,7,9,4,2.3333333333,2.1488813703,1.9583417612
chain2,12,17,19,2,2,0,1,5,25,4,2.0000000000,1.8312368960,1.8218071621
chain2,12,18,20,2,2,0,1,5,25,4,2.0000000000,1.8312368960,1.8218071621
chain2,12,19,21,1,3,1,0,5,11,2,1.7500000000,1.8312368960,1.8218071621
chain2,12,20,22,2,2,1,1,6,9,4,2.0000000000,2.0000000000,2.0202072359
chain2,12,21,23,2,2,0,2,6,33,4,2.0000000000,2.0000000000,2.0785553499
chain2,12,22,24,2,0,1,3,6,7,4,1.8000000000,2.0000000000,2.2364152990
chain2,12,23,25,3,2,0,0,5,16,4,2.0000000000,1.8312368960,1.5716813449
chain2,12,24,26,3,3,1,1,8,17,4,2.2500000000,2.2824720047,2.1863367321
chain2,12,25,27,3,2,1,2,8,16,4,2.2857142857,2.2824720047,2.2842970862
chain2,13,1,3,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,13,2,4,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,13,3,5,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,13,4,6,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
