seed,run_seed,step_idx,n_vertices,total_parent_subsets,admitted_parent_subsets,unique_closures,admitted_unique_closures,unique_profiles,admitted_unique_profiles,mean_closure_multiplicity,max_closure_multiplicity,mean_adm_closure_multiplicity,max_adm_closure_multiplicity
asym_branch,6,3,6,57,13,10,4,8,4,5.7000000000,15,3.2500000000,8
asym_branch,6,4,7,99,24,20,7,13,6,4.9500000000,15,3.4285714286,8
asym_branch,6,5,8,163,62,24,10,16,8,6.7916666667,26,6.2000000000,16
asym_branch,6,6,9,256,155,26,12,17,9,9.8461538462,64,12.9166666667,64
asym_branch,6,7,10,386,155,28,12,17,9,13.7857142857,93,12.9166666667,64
asym_branch,6,8,11,562,294,34,16,21,11,16.5294117647,93,18.3750000000,64
asym_branch,6,9,12,794,396,40,20,23,13,19.8500000000,93,19.8000000000,64
asym_branch,6,10,13,1093,686,50,29,27,16,21.8600000000,93,23.6551724138,64
asym_branch,6,11,14,1471,809,56,31,30,17,26.2678571429,176,26.0967741935,67
asym_branch,6,12,15,1941,1001,71,36,35,19,27.3380281690,176,27.8055555556,67
asym_branch,6,13,16,2517,1185,76,38,39,21,33.1184210526,299,31.1842105263,92
asym_branch,6,14,17,3214,1622,112,54,52,26,28.6964285714,299,30.0370370370,92
asym_branch,6,15,18,4048,2004,152,68,62,29,26.6315789474,299,29.4705882353,92
asym_branch,6,16,19,5036,2408,216,94,65,32,23.3148148148,299,25.6170212766,92
asym_branch,6,17,20,6196,2750,280,122,72,35,22.1285714286,299,22.5409836066,92
asym_branch,6,18,21,7547,3229,422,169,78,35,17.8838862559,299,19.1065088757,92
asym_branch,6,19,22,9109,4037,508,231,86,41,17.9311023622,378,17.4761904762,92
asym_branch,6,20,23,10903,4861,630,295,89,41,17.3063492063,378,16.4779661017,92
asym_branch,6,21,24,12951,5558,716,355,95,47,18.0879888268,576,15.6563380282,137
asym_branch,6,22,25,15276,5558,758,355,99,47,20.1530343008,988,15.6563380282,137
asym_branch,6,23,26,17902,7647,822,393,110,52,21.7785888078,988,19.4580152672,834
