environment,m_kg,T_s,gamma_decoh_per_s,unitary_peak_C,realistic_peak_C,discriminating
frozen_lab_nm,1.000e-19,1e+03,6.257e-06,1.0547e-04,0.0000e+00,0
frozen_lab_nm,3.162e-19,0.1,6.257e-06,7.1533e-07,3.6385e-07,0
frozen_lab_nm,3.162e-19,1,6.257e-06,1.7106e-06,3.5188e-07,0
frozen_lab_nm,3.162e-19,10,6.257e-06,1.0540e-05,0.0000e+00,0
frozen_lab_nm,3.162e-19,100,6.257e-06,1.0547e-04,0.0000e+00,0
frozen_lab_nm,3.162e-19,1e+03,6.257e-06,1.0548e-03,0.0000e+00,0
frozen_lab_nm,1.000e-18,0.1,6.257e-06,1.7106e-06,9.3332e-07,0
frozen_lab_nm,1.000e-18,1,6.257e-06,1.0540e-05,4.2918e-06,0
frozen_lab_nm,1.000e-18,10,6.257e-06,1.0547e-04,4.2911e-05,0
frozen_lab_nm,1.000e-18,100,6.257e-06,1.0548e-03,4.2887e-04,0
frozen_lab_nm,1.000e-18,1e+03,6.257e-06,1.0548e-02,4.2644e-03,0
frozen_lab_nm,3.162e-18,0.1,6.257e-06,1.0540e-05,9.9319e-06,0
frozen_lab_nm,3.162e-18,1,6.257e-06,1.0547e-04,9.9225e-05,0
frozen_lab_nm,3.162e-18,10,6.257e-06,1.0548e-03,9.9219e-04,0
frozen_lab_nm,3.162e-18,100,6.257e-06,1.0548e-02,9.9161e-03,0
frozen_lab_nm,3.162e-18,1e+03,6.257e-06,1.0529e-01,9.8412e-02,1
frozen_lab_nm,1.000e-17,0.1,6.257e-06,1.0547e-04,1.0486e-04,0
frozen_lab_nm,1.000e-17,1,6.257e-06,1.0548e-03,1.0486e-03,0
frozen_lab_nm,1.000e-17,10,6.257e-06,1.0548e-02,1.0485e-02,1
frozen_lab_nm,1.000e-17,100,6.257e-06,1.0529e-01,1.0460e-01,1
frozen_lab_nm,1.000e-17,1e+03,6.257e-06,8.6981e-01,8.5817e-01,1
frozen_lab_nm,3.162e-17,0.1,6.257e-06,1.0548e-03,1.0542e-03,0
frozen_lab_nm,3.162e-17,1,6.257e-06,1.0548e-02,1.0542e-02,1
frozen_lab_nm,3.162e-17,10,6.257e-06,1.0529e-01,1.0522e-01,1
frozen_lab_nm,3.162e-17,100,6.257e-06,8.6981e-01,8.6864e-01,1
frozen_lab_nm,3.162e-17,1e+03,6.257e-06,9.9993e-01,9.9806e-01,1
frozen_lab_nm,1.000e-16,0.1,6.257e-06,1.0548e-02,1.0547e-02,1
frozen_lab_nm,1.000e-16,1,6.257e-06,1.0529e-01,1.0528e-01,1
