config_id,source,keying,surface,mode,family_semantics,threshold_fraction,support_width,family_size,rows,orientation_bins,low_rows,high_rows,estimable_low_high,medium_rows,mean_orientation_overlap
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,at_least_k,0.25,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,at_least_k,0.25,2,3,1935,high;medium,0,812,False,1123,0.2772678496257307
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,at_least_k,0.25,3,7,2142,high;medium,0,1283,False,859,0.28510163912349323
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,at_least_k,0.25,4,15,1980,high;medium,0,1801,False,179,0.29120056837982494
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,at_least_k,0.5,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,at_least_k,0.5,2,3,1935,high;medium,0,802,False,1133,0.2758844555291583
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,at_least_k,0.5,3,4,2142,high,0,2142,False,0,0.41043898038347687
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,at_least_k,0.5,4,11,1980,high,0,1980,False,0,0.37067070053829393
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,at_least_k,0.75,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,at_least_k,0.75,2,1,1935,low;medium,1143,0,False,792,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,at_least_k,0.75,3,1,2142,low;medium,1284,0,False,858,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,at_least_k,0.75,4,5,1980,high,0,1980,False,0,0.5046392338198084
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.25,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.25,2,3,1935,high;medium,0,1902,False,33,0.2776773135946262
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.25,3,4,2142,high;medium,0,802,False,1340,0.17865642478249627
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.25,4,5,1980,high;medium,0,92,False,1888,0.13442691010946706
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.5,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.5,2,3,1935,high;medium,0,1902,False,33,0.27747140886675764
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.5,3,4,2142,high,0,2142,False,0,0.4111950856452399
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.5,4,7,1980,high,0,1980,False,0,0.29380745460722024
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.75,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.75,2,1,1935,low;medium,1143,0,False,792,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.75,3,1,2142,low;medium,1284,0,False,858,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.75,4,5,1980,high,0,1980,False,0,0.5048676010127131
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,at_least_k,0.25,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,at_least_k,0.25,2,3,1935,high;medium,0,1134,False,801,0.3333333333333332
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,at_least_k,0.25,3,7,2142,high;medium,0,1296,False,846,0.33333333333333326
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,at_least_k,0.25,4,15,1980,high;medium,0,1134,False,846,0.33333333333333326
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,at_least_k,0.5,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,at_least_k,0.5,2,3,1935,high;medium,0,1134,False,801,0.3333333333333332
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,at_least_k,0.5,3,4,2142,high,0,2142,False,0,0.5
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,at_least_k,0.5,4,11,1980,high,0,1980,False,0,0.43636363636363645
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,at_least_k,0.75,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,at_least_k,0.75,2,1,1935,low;medium,1143,0,False,792,0.0
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,at_least_k,0.75,3,1,2142,low;medium,1284,0,False,858,0.0
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,at_least_k,0.75,4,5,1980,high,0,1980,False,0,0.5999999999999999
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.25,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.25,2,3,1935,high,0,1935,False,0,0.3333333333333332
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.25,3,4,2142,high;medium,0,828,False,1314,0.16666666666666657
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.25,4,5,1980,medium,0,0,False,1980,0.10000000000000002
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.5,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.5,2,3,1935,high,0,1935,False,0,0.3333333333333332
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.5,3,4,2142,high,0,2142,False,0,0.5
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.5,4,7,1980,high,0,1980,False,0,0.33333333333333326
