row_id,mode,family_semantics,severity,threshold_fraction,support_width,family_size,samples,support_overlap,frontier_overlap,legacy_orientation_overlap,support_frontier_overlap,per_graph_orientation_link_overlap,per_graph_orientation_link_bin,support_frontier_bin,certification_rescue_rate,per_graph_orientation_adjusted_rescue_rate,orientation_overlap_source
134,ledger_failure,augmented_exact_k,0.75,0.5,3,10,476,0.5,0.5,0.5,0.5,0.18668220668220667,low,medium,0.180672,0.08133177933177932,per_graph_member_witness_tokens
135,ledger_failure,augmented_exact_k,0.75,0.5,4,10,440,0.333333,0.333333,0.333333,0.333333,0.2092722092722092,low,low,0.340909,0.07907277907277908,per_graph_member_witness_tokens
136,ledger_failure,augmented_exact_k,0.75,0.75,1,10,1054,1.0,1.0,1.0,1.0,0.3743386243386244,medium,high,0.0,0.06256613756613756,per_graph_member_witness_tokens
137,ledger_failure,augmented_exact_k,0.75,0.75,2,10,430,1.0,1.0,1.0,1.0,0.32888888888888884,low,high,0.0,0.06711111111111112,per_graph_member_witness_tokens
138,ledger_failure,augmented_exact_k,0.75,0.75,3,10,476,1.0,1.0,1.0,1.0,0.21564361564361556,low,high,0.0,0.07843563843563844,per_graph_member_witness_tokens
139,ledger_failure,augmented_exact_k,0.75,0.75,4,10,440,0.6,0.6,0.6,0.6,0.18920486920486917,low,medium,0.15,0.08107951307951308,per_graph_member_witness_tokens
140,ledger_failure,augmented_exact_k,0.75,1.0,1,10,1054,1.0,1.0,1.0,1.0,0.3637566137566138,medium,high,0.0,0.06362433862433862,per_graph_member_witness_tokens
141,ledger_failure,augmented_exact_k,0.75,1.0,2,10,430,1.0,1.0,1.0,1.0,0.3321693121693121,low,high,0.0,0.06678306878306879,per_graph_member_witness_tokens
142,ledger_failure,augmented_exact_k,0.75,1.0,3,10,476,1.0,1.0,1.0,1.0,0.19569319569319563,low,high,0.0,0.08043068043068044,per_graph_member_witness_tokens
143,ledger_failure,augmented_exact_k,0.75,1.0,4,10,440,1.0,1.0,1.0,1.0,0.23724736048265455,low,high,0.0,0.07627526395173453,per_graph_member_witness_tokens
144,ledger_failure,augmented_exact_k,1.0,0.25,1,10,1054,1.0,1.0,1.0,1.0,0.3796296296296296,medium,high,0.0,0.07444444444444445,per_graph_member_witness_tokens
145,ledger_failure,augmented_exact_k,1.0,0.25,2,10,430,0.333333,0.333333,0.333333,0.333333,0.38756613756613745,medium,low,0.0,0.07349206349206351,per_graph_member_witness_tokens
146,ledger_failure,augmented_exact_k,1.0,0.25,3,10,476,0.166667,0.166667,0.166667,0.166667,0.20000000000000004,low,low,0.0,0.096,per_graph_member_witness_tokens
147,ledger_failure,augmented_exact_k,1.0,0.25,4,10,440,0.1,0.1,0.1,0.1,0.21703703703703697,low,low,0.0,0.09395555555555557,per_graph_member_witness_tokens
148,ledger_failure,augmented_exact_k,1.0,0.5,1,10,1054,1.0,1.0,1.0,1.0,0.3888888888888889,medium,high,0.0,0.07333333333333333,per_graph_member_witness_tokens
