run_seed,motif,motif_kind,site,threshold_fraction,family_semantics,support_width,family_size,pair_count,active_all_pairs_orientation_jaccard,active_parent_anchored_orientation_jaccard,active_orientation_overlap_bin,bad_member_indexed_all_pairs_jaccard,member_index_delta
19,renewal_15,renewal,15,0.75,at_least_k,3,1,0,0.0,0.0,low,0.0,0.0
19,renewal_15,renewal,15,0.75,augmented_exact_k,3,1,0,0.0,0.0,low,0.0,0.0
19,renewal_15,renewal,15,0.5,at_least_k,3,4,6,0.5,0.484848,medium,0.121212,0.378788
19,renewal_15,renewal,15,0.5,augmented_exact_k,3,4,6,0.5,0.484848,medium,0.121212,0.378788
19,renewal_15,renewal,15,0.25,at_least_k,3,7,21,0.333333,0.191288,medium,0.083333,0.25
19,renewal_15,renewal,15,0.25,augmented_exact_k,3,4,6,0.166667,0.090909,low,0.045455,0.121212
19,renewal_30,renewal,30,1.0,at_least_k,4,1,0,0.0,0.0,low,0.0,0.0
19,renewal_30,renewal,30,1.0,augmented_exact_k,4,1,0,0.0,0.0,low,0.0,0.0
19,renewal_30,renewal,30,0.75,at_least_k,4,5,10,0.6,0.625,medium,0.138889,0.461111
19,renewal_30,renewal,30,0.75,augmented_exact_k,4,5,10,0.6,0.625,medium,0.138889,0.461111
19,renewal_30,renewal,30,0.5,at_least_k,4,11,55,0.436364,0.398291,medium,0.145318,0.291046
19,renewal_30,renewal,30,0.5,augmented_exact_k,4,7,21,0.333333,0.331909,medium,0.09341,0.239923
19,renewal_30,renewal,30,0.25,at_least_k,4,15,105,0.333333,0.146083,medium,0.124118,0.209216
19,renewal_30,renewal,30,0.25,augmented_exact_k,4,5,10,0.1,0.041667,low,0.038889,0.061111
19,renewal_2,renewal,2,1.0,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_2,renewal,2,1.0,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_2,renewal,2,0.75,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_2,renewal,2,0.75,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_2,renewal,2,0.5,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_2,renewal,2,0.5,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_2,renewal,2,0.25,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_2,renewal,2,0.25,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_20,renewal,20,1.0,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
19,renewal_20,renewal,20,1.0,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
19,renewal_20,renewal,20,0.75,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
19,renewal_20,renewal,20,0.75,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
19,renewal_20,renewal,20,0.5,at_least_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
19,renewal_20,renewal,20,0.5,augmented_exact_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
19,renewal_20,renewal,20,0.25,at_least_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
19,renewal_20,renewal,20,0.25,augmented_exact_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
19,renewal_21,renewal,21,1.0,at_least_k,3,1,0,0.0,0.0,low,0.0,0.0
19,renewal_21,renewal,21,1.0,augmented_exact_k,3,1,0,0.0,0.0,low,0.0,0.0
19,renewal_21,renewal,21,0.75,at_least_k,3,1,0,0.0,0.0,low,0.0,0.0
19,renewal_21,renewal,21,0.75,augmented_exact_k,3,1,0,0.0,0.0,low,0.0,0.0
19,renewal_21,renewal,21,0.5,at_least_k,3,4,6,0.5,0.444444,medium,0.111111,0.388889
19,renewal_21,renewal,21,0.5,augmented_exact_k,3,4,6,0.5,0.444444,medium,0.111111,0.388889
19,renewal_21,renewal,21,0.25,at_least_k,3,7,21,0.333333,0.291667,medium,0.117063,0.21627
19,renewal_21,renewal,21,0.25,augmented_exact_k,3,4,6,0.166667,0.155556,low,0.077778,0.088889
19,renewal_3,renewal,3,1.0,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_3,renewal,3,1.0,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_3,renewal,3,0.75,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_3,renewal,3,0.75,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_3,renewal,3,0.5,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_3,renewal,3,0.5,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_3,renewal,3,0.25,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_3,renewal,3,0.25,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_24,renewal,24,1.0,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
19,renewal_24,renewal,24,1.0,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
19,renewal_24,renewal,24,0.75,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
19,renewal_24,renewal,24,0.75,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
19,renewal_24,renewal,24,0.5,at_least_k,2,3,3,0.333333,0.35,medium,0.0,0.333333
19,renewal_24,renewal,24,0.5,augmented_exact_k,2,3,3,0.333333,0.35,medium,0.0,0.333333
19,renewal_24,renewal,24,0.25,at_least_k,2,3,3,0.333333,0.35,medium,0.0,0.333333
19,renewal_24,renewal,24,0.25,augmented_exact_k,2,3,3,0.333333,0.35,medium,0.0,0.333333
