run_seed,motif,threshold_fraction,family_semantics,same_cut_graph_tokens_stable,same_cut_member_indexed_tokens_stable,graph_surface_uses_member_index,bad_control_uses_member_index
21,renewal_15,1.0,augmented_exact_k,True,False,False,True
21,renewal_15,0.75,at_least_k,True,False,False,True
21,renewal_15,0.75,augmented_exact_k,True,False,False,True
21,renewal_15,0.5,at_least_k,True,False,False,True
21,renewal_15,0.5,augmented_exact_k,True,False,False,True
21,renewal_15,0.25,at_least_k,True,False,False,True
21,renewal_15,0.25,augmented_exact_k,True,False,False,True
21,renewal_17,1.0,at_least_k,True,False,False,True
21,renewal_17,1.0,augmented_exact_k,True,False,False,True
21,renewal_17,0.75,at_least_k,True,False,False,True
21,renewal_17,0.75,augmented_exact_k,True,False,False,True
21,renewal_17,0.5,at_least_k,True,False,False,True
21,renewal_17,0.5,augmented_exact_k,True,False,False,True
21,renewal_17,0.25,at_least_k,True,False,False,True
21,renewal_17,0.25,augmented_exact_k,True,False,False,True
21,renewal_2,1.0,at_least_k,True,False,False,True
21,renewal_2,1.0,augmented_exact_k,True,False,False,True
21,renewal_2,0.75,at_least_k,True,False,False,True
21,renewal_2,0.75,augmented_exact_k,True,False,False,True
21,renewal_2,0.5,at_least_k,True,False,False,True
21,renewal_2,0.5,augmented_exact_k,True,False,False,True
21,renewal_2,0.25,at_least_k,True,False,False,True
21,renewal_2,0.25,augmented_exact_k,True,False,False,True
21,renewal_14,1.0,at_least_k,True,False,False,True
21,renewal_14,1.0,augmented_exact_k,True,False,False,True
21,renewal_14,0.75,at_least_k,True,False,False,True
21,renewal_14,0.75,augmented_exact_k,True,False,False,True
21,renewal_14,0.5,at_least_k,True,False,False,True
21,renewal_14,0.5,augmented_exact_k,True,False,False,True
21,renewal_14,0.25,at_least_k,True,False,False,True
21,renewal_14,0.25,augmented_exact_k,True,False,False,True
21,renewal_26,1.0,at_least_k,True,False,False,True
21,renewal_26,1.0,augmented_exact_k,True,False,False,True
21,renewal_26,0.75,at_least_k,True,False,False,True
21,renewal_26,0.75,augmented_exact_k,True,False,False,True
21,renewal_26,0.5,at_least_k,True,False,False,True
21,renewal_26,0.5,augmented_exact_k,True,False,False,True
21,renewal_26,0.25,at_least_k,True,False,False,True
21,renewal_26,0.25,augmented_exact_k,True,False,False,True
21,renewal_3,1.0,at_least_k,True,False,False,True
21,renewal_3,1.0,augmented_exact_k,True,False,False,True
21,renewal_3,0.75,at_least_k,True,False,False,True
21,renewal_3,0.75,augmented_exact_k,True,False,False,True
21,renewal_3,0.5,at_least_k,True,False,False,True
21,renewal_3,0.5,augmented_exact_k,True,False,False,True
21,renewal_3,0.25,at_least_k,True,False,False,True
21,renewal_3,0.25,augmented_exact_k,True,False,False,True
21,renewal_21,1.0,at_least_k,True,False,False,True
21,renewal_21,1.0,augmented_exact_k,True,False,False,True
