keying,mode,family_semantics,orientation_bin,rows,rescue_rate,mean_family_size,family_size_min,family_size_max,family_size_counts,singleton_family_fraction
shuffled_overlap_control,ledger_failure,augmented_exact_k,high,10800,0.19675925925925927,4.491388888888889,1,7,1:971;3:1213;4:3135;5:3505;7:1976,0.08990740740740741
shuffled_overlap_control,ledger_failure,augmented_exact_k,low,10800,0.04101851851851852,1.4906481481481482,1,7,1:8668;3:1326;4:579;5:226;7:1,0.8025925925925926
shuffled_overlap_control,ledger_failure,augmented_exact_k,medium,10800,0.04111111111111111,1.4912962962962963,1,7,1:8667;3:1331;4:570;5:229;7:3,0.8025
shuffled_overlap_control,orientation_degradation,at_least_k,high,10800,0.21925925925925926,7.902592592592592,3,15,3:1164;4:1820;5:1948;7:1908;11:1980;15:1980,0.0
shuffled_overlap_control,orientation_degradation,at_least_k,low,10800,0.026203703703703705,1.318425925925926,1,7,1:9227;3:1374;4:167;5:1;7:31,0.8543518518518518
shuffled_overlap_control,orientation_degradation,at_least_k,medium,10800,0.025555555555555557,1.4139814814814815,1,7,1:9079;3:1332;4:155;5:31;7:203,0.8406481481481481
shuffled_overlap_control,orientation_degradation,augmented_exact_k,high,10800,0.19546296296296295,4.4964814814814815,1,7,1:941;3:1267;4:3090;5:3527;7:1975,0.08712962962962963
shuffled_overlap_control,orientation_degradation,augmented_exact_k,low,10800,0.041574074074074076,1.4837037037037037,1,7,1:8707;3:1277;4:600;5:213;7:3,0.8062037037037038
shuffled_overlap_control,orientation_degradation,augmented_exact_k,medium,10800,0.04111111111111111,1.4931481481481481,1,7,1:8658;3:1326;4:594;5:220;7:2,0.8016666666666666
shuffled_overlap_control,selector_stress,at_least_k,high,10800,0.0,7.908888888888889,3,15,3:1150;4:1808;5:1956;7:1927;11:1980;15:1979,0.0
shuffled_overlap_control,selector_stress,at_least_k,low,10800,0.0,1.3198148148148148,1,7,1:9222;3:1379;4:162;5:6;7:31,0.8538888888888889
shuffled_overlap_control,selector_stress,at_least_k,medium,10800,0.0,1.4062962962962964,1,15,1:9084;3:1341;4:172;5:18;7:184;15:1,0.8411111111111111
shuffled_overlap_control,selector_stress,augmented_exact_k,high,10800,0.0,4.4863888888888885,1,7,1:977;3:1255;4:3083;5:3508;7:1977,0.09046296296296297
shuffled_overlap_control,selector_stress,augmented_exact_k,low,10800,0.0,1.4916666666666667,1,7,1:8674;3:1304;4:588;5:233;7:1,0.8031481481481482
shuffled_overlap_control,selector_stress,augmented_exact_k,medium,10800,0.0,1.4952777777777777,1,7,1:8655;3:1311;4:613;5:219;7:2,0.8013888888888889
