mode,family_semantics,severity,threshold_fraction,certificate_correlation,samples,certification_rescue_rate,family_certification_resilience_rate,family_internal_loss_rate,family_internal_survival_rate,mean_certified_family_member_count,metric_artifact_risk_rate
orientation_degradation,at_least_k,0.25,1.0,0.0,2400,0.0,0.780417,0.219583,0.780417,0.780417,0.0
orientation_degradation,at_least_k,0.25,1.0,0.25,2400,0.0,0.756667,0.243333,0.756667,0.756667,0.0
orientation_degradation,at_least_k,0.25,1.0,0.5,2400,0.0,0.745417,0.254583,0.745417,0.745417,0.0
orientation_degradation,at_least_k,0.25,1.0,0.75,2400,0.0,0.55625,0.44375,0.55625,0.55625,0.0
orientation_degradation,at_least_k,0.25,1.0,1.0,2400,0.0,0.79375,0.20625,0.79375,0.79375,0.0
orientation_degradation,at_least_k,0.5,0.25,0.0,2400,0.264583,0.740833,0.259167,0.740833,2.605,0.0
orientation_degradation,at_least_k,0.5,0.25,0.25,2400,0.155,0.66625,0.33375,0.66625,2.484167,0.0
orientation_degradation,at_least_k,0.5,0.25,0.5,2400,0.11625,0.67375,0.32625,0.67375,2.59375,0.0
orientation_degradation,at_least_k,0.5,0.25,0.75,2400,0.065417,0.427917,0.572083,0.427917,2.075,0.0
orientation_degradation,at_least_k,0.5,0.25,1.0,2400,0.0,0.475,0.525,0.475,2.355,0.0
orientation_degradation,at_least_k,0.5,0.5,0.0,2400,0.24416700000000002,0.727083,0.272917,0.727083,1.895417,0.0
orientation_degradation,at_least_k,0.5,0.5,0.25,2400,0.197083,0.653333,0.346667,0.653333,1.8579169999999998,0.0
orientation_degradation,at_least_k,0.5,0.5,0.5,2400,0.094167,0.66375,0.33625,0.66375,1.9675,0.0
orientation_degradation,at_least_k,0.5,0.5,0.75,2400,0.054167,0.421667,0.578333,0.421667,1.515,0.0
orientation_degradation,at_least_k,0.5,0.5,1.0,2400,0.0,0.475,0.525,0.475,1.73125,0.0
orientation_degradation,at_least_k,0.5,0.75,0.0,2400,0.1,0.561667,0.438333,0.561667,0.8325,0.0
orientation_degradation,at_least_k,0.5,0.75,0.25,2400,0.07125,0.517083,0.482917,0.517083,0.843333,0.0
orientation_degradation,at_least_k,0.5,0.75,0.5,2400,0.019167,0.58875,0.41125,0.58875,0.9529170000000001,0.0
orientation_degradation,at_least_k,0.5,0.75,0.75,2400,0.02875,0.393333,0.606667,0.393333,0.62625,0.0
orientation_degradation,at_least_k,0.5,0.75,1.0,2400,0.0,0.475,0.525,0.475,0.775,0.0
orientation_degradation,at_least_k,0.5,1.0,0.0,2400,0.0,0.4575,0.5425,0.4575,0.4575,0.0
