keying,mode,family_semantics,severity,threshold_fraction,support_width,trials,certification_rescue_rate,orientation_overlap_all_pairs_mean,orientation_overlap_parent_anchored_mean,avg_witness_token_count,support_overlap_mean,frontier_overlap_mean,legacy_orientation_overlap_mean,ledger_overlap_mean
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.75,2,645,0.0,0.0,0.0,6.945736434108527,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.75,3,714,0.0,0.0,0.0,9.693277310924369,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.75,4,660,0.1621212121212121,0.5042577313734259,0.4826941160196508,10.133636363636363,0.6,0.6,0.6,0.7759782636363637
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.25,1,1581,0.0,0.0,0.0,8.05123339658444,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.25,2,645,0.14108527131782947,0.27791699687048527,0.2303072379816566,5.249095607235142,0.333333,0.333333,0.333333,0.6498192093023256
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.25,3,714,0.14985994397759103,0.2843252726735454,0.20907921273224953,6.278111244497799,0.333333,0.333333,0.333333,0.6190285588235295
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.25,4,660,0.18636363636363637,0.29101405779005973,0.19132986682755992,7.340303030303031,0.333333,0.333333,0.333333,0.6143184590909091
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.5,1,1581,0.0,0.0,0.0,8.013915243516761,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.5,2,645,0.14108527131782947,0.27428331071741924,0.22636450328310792,5.206201550387597,0.333333,0.333333,0.333333,0.6498192093023256
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.5,3,714,0.11624649859943978,0.41123183363293925,0.37773696336523643,7.694327731092437,0.5,0.5,0.5,0.7166617899159663
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.5,4,660,0.10151515151515152,0.3710030150581829,0.3217531827061098,8.417768595041323,0.4363639999999999,0.4363639999999999,0.4363639999999999,0.6784479409090909
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.75,1,1581,0.0,0.0,0.0,8.014547754585704,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.75,2,645,0.0,0.0,0.0,6.937984496124031,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.75,3,714,0.0,0.0,0.0,9.693277310924369,1.0,1.0,1.0,1.0
